ulasan,sentiment
"Salah satu pengulas lain menyebutkan bahwa setelah menonton 1 episode Oz saja Anda akan ketagihan. Mereka benar, karena itulah yang terjadi pada saya.<br /><br />Hal pertama yang menarik perhatian saya tentang Oz adalah kebrutalan dan adegan kekerasannya yang tak tergoyahkan, yang berasal dari kata GO. Percayalah, ini bukan pertunjukan untuk mereka yang lemah hati atau penakut. Pertunjukan ini tidak menyinggung narkoba, seks, atau kekerasan. Ini adalah istilah yang keras, dalam penggunaan kata klasik.<br /><br />Disebut OZ karena itulah julukan yang diberikan kepada Penjara Negara dengan Keamanan Maksimum Oswald. Fokus utamanya adalah di Kota Zamrud, sebuah bagian penjara eksperimental yang semua selnya memiliki bagian depan kaca dan menghadap ke dalam, sehingga privasi tidak menjadi agenda utama. Em City adalah rumah bagi banyak orang..Arya, Muslim, gangsta, Latin, Kristen, Italia, Irlandia, dan masih banyak lagi....jadi pertikaian, tatapan maut, transaksi licik, dan perjanjian curang tidak akan pernah ada habisnya.<br /><br />Menurut saya, daya tarik utama dari acara ini adalah karena acara ini ditayangkan di tempat yang tidak berani ditonjolkan oleh acara lain. Lupakan gambar-gambar cantik yang dilukis untuk khalayak umum, lupakan pesona, lupakan romansa...OZ tidak main-main. Episode pertama yang saya tonton menurut saya sangat buruk hingga tidak nyata, saya tidak bisa mengatakan saya siap untuk itu, tetapi semakin saya menonton lebih banyak, saya mulai menyukai Oz, dan menjadi terbiasa dengan kekerasan grafis tingkat tinggi. Bukan hanya kekerasan, tapi ketidakadilan (penjaga nakal yang akan dijual seharga satu nikel, narapidana yang akan membunuh sesuai perintah dan lolos begitu saja, sopan santun, narapidana kelas menengah diubah menjadi pelacur penjara karena kurangnya keterampilan jalanan atau pengalaman penjara) Menonton Oz, Anda mungkin merasa nyaman dengan apa yang tidak nyaman untuk ditonton....itulah jika Anda bisa berhubungan dengan sisi gelap Anda.",positive
"Produksi kecil yang luar biasa. <br /><br />Teknik pembuatan filmnya sangat sederhana dan sangat kuno dalam gaya BBC dan memberikan rasa realisme yang menghibur, dan terkadang tidak menyenangkan, pada keseluruhan film. <br /><br />Para aktor dipilih dengan sangat baik - Michael Sheen tidak hanya ""memiliki semua polari"" tetapi dia juga memiliki semua suara yang rendah! Anda benar-benar dapat melihat pengeditan yang mulus dipandu oleh referensi ke entri buku harian Williams, tidak hanya layak untuk ditonton tetapi juga merupakan karya yang ditulis dan ditampilkan dengan sangat baik. Sebuah produksi hebat tentang salah satu ahli komedi terhebat dan kehidupannya. <br /><br />Realisme benar-benar muncul dengan hal-hal kecil: fantasi penjaga yang, alih-alih menggunakan teknik 'impian' tradisional, tetap kokoh lalu menghilang. Hal ini mempengaruhi pengetahuan dan indra kita, terutama dengan adegan-adegan mengenai Orton dan Halliwell dan lokasi syutingnya (terutama flat mereka dengan mural Halliwell yang menghiasi setiap permukaannya) dilakukan dengan sangat baik.",positive
"Saya pikir ini adalah cara yang bagus untuk menghabiskan waktu di akhir pekan musim panas yang terlalu terik, duduk di teater ber-AC dan menonton komedi ringan. Plotnya sederhana, tetapi dialognya jenaka dan karakternya menyenangkan (bahkan orang yang dicurigai sebagai pembunuh berantai). Meskipun beberapa orang mungkin kecewa ketika mereka menyadari bahwa ini bukan Poin Pertandingan 2: Kecanduan Risiko, saya pikir ini adalah bukti bahwa Woody Allen masih sepenuhnya mengendalikan gaya yang banyak dari kita sukai.<br /><br />Ini adalah hal yang paling sering saya tertawakan di salah satu komedi Woody selama bertahun-tahun (berani saya katakan satu dekade?). Meskipun saya belum pernah terkesan dengan Scarlet Johanson, dalam hal ini dia berhasil mengurangi citra ""seksi""-nya dan langsung menjadi wanita muda biasa-biasa saja, namun penuh semangat.<br /><br />Ini mungkin bukan permata mahkota dalam kariernya, tapi lebih jenaka daripada ""Iblis Memakai Prada"" dan lebih menarik daripada ""Superman"", sebuah komedi yang bagus untuk ditonton bersama teman-teman.",positive
"Pada dasarnya ada sebuah keluarga di mana seorang anak kecil (Jake) mengira ada zombie di lemarinya & orang tuanya berkelahi sepanjang waktu.<br /><br />Film ini lebih lambat dari sinetron... dan tiba-tiba, Jake memutuskan untuk menjadi Rambo dan membunuh zombie tersebut.<br /><br />OK, pertama-tama ketika Anda akan membuat sebuah film, Anda harus Putuskan apakah itu film thriller atau drama! Sebagai sebuah drama, film ini dapat ditonton. Orang tua bercerai & bertengkar seperti di kehidupan nyata. Dan kemudian kita memiliki Jake dengan lemarinya yang benar-benar merusak seluruh film! Aku mengira akan menonton film serupa BOOGEYMAN, malah aku menonton drama dengan beberapa adegan thriller yang tidak berarti.<br /><br />3 dari 10 hanya untuk dialog orang tua & keturunan yang dimainkan dengan baik. Mengenai pengambilan gambar dengan Jake: abaikan saja.",negative
"""Love in the Time of Money"" karya Petter Mattei adalah film yang secara visual menakjubkan untuk ditonton. Tuan Mattei memberi kita gambaran yang jelas tentang hubungan antarmanusia. Ini adalah film yang sepertinya memberi tahu kita apa pengaruh uang, kekuasaan, dan kesuksesan terhadap orang-orang dalam berbagai situasi yang kita hadapi. <br /><br />Ini adalah variasi dari drama Arthur Schnitzler dengan tema yang sama, sutradara memindahkan aksinya ke masa kini New York di mana semua karakter berbeda bertemu dan terhubung. Masing-masing terhubung dengan satu atau lain cara ke orang berikutnya, tetapi sepertinya tak seorang pun mengetahui titik kontak sebelumnya. Secara gaya, film ini memiliki tampilan mewah yang canggih. Kita diajak untuk melihat bagaimana orang-orang ini hidup dan dunia yang mereka tinggali di habitatnya masing-masing.<br /><br />Satu-satunya hal yang dapat dilihat dari semua jiwa dalam gambar ini adalah berbagai tahapan kesepian yang dialami masing-masing jiwa. Kota besar bukanlah tempat terbaik di mana hubungan antarmanusia menemukan kepuasan yang tulus, seperti yang terlihat pada sebagian besar orang yang kita temui.<br /><br />Aktingnya bagus di bawah arahan Pak Mattei. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, dan pemeran berbakat lainnya, membuat karakter-karakter ini menjadi hidup.<br /><br />Kami mendoakan semoga sukses bagi Tuan Mattei dan menunggu dengan cemas untuk karya berikutnya.",positive
"Mungkin film favorit saya sepanjang masa, sebuah kisah tentang tidak mementingkan diri sendiri, pengorbanan dan dedikasi untuk tujuan mulia, tapi tidak berkhotbah atau membosankan. Itu tidak pernah menjadi tua, meskipun saya telah melihatnya sekitar 15 kali atau lebih dalam 25 tahun terakhir. Penampilan Paul Lukas membuat saya menangis, dan Bette Davis, dalam salah satu dari sedikit perannya yang benar-benar simpatik, sungguh menyenangkan. Anak-anak, seperti kata nenek, lebih mirip ""cebol yang berpakaian rapi"" dibandingkan anak-anak, tapi itu hanya membuat mereka lebih asyik untuk ditonton. Dan kesadaran lambat sang ibu terhadap apa yang terjadi di dunia dan di bawah naungan rumahnya sendiri dapat dipercaya dan mengejutkan. Jika saya punya selusin jempol, mereka semua akan ""siap"" untuk film ini.",positive
"Saya yakin ingin melihat kebangkitan serial Seahunt yang diperbarui dengan teknologi yang mereka miliki saat ini, hal itu akan mengembalikan kegembiraan anak-anak dalam diri saya. Saya tumbuh di TV hitam putih dan Seahunt dengan Gunsmoke adalah pahlawan saya setiap minggu. Anda berhak memilih kembalinya perburuan laut yang baru. Kita memerlukan perubahan kecepatan di TV dan ini akan berhasil untuk dunia petualangan bawah air. Oh ngomong-ngomong, terima kasih atas outlet seperti ini untuk melihat banyak sudut pandang tentang TV dan banyak film. Jadi, apa saja ya, aku yakin aku punya apa yang ingin aku katakan. Akan menyenangkan untuk membaca beberapa poin plus lagi tentang perburuan laut. Jika sajakku terdiri dari 10 baris, maukah kamu membiarkanku mengirimkannya, atau biarkan aku merasa ragu dan minta aku berhenti, Jika demikian maka aku harus pergi, jadi ayo lakukan.",positive
"Pertunjukan ini merupakan ide yang luar biasa, segar & inovatif di tahun 70an ketika pertama kali ditayangkan. 7 atau 8 tahun pertama sangat cemerlang, namun segalanya menurun setelah itu. Pada tahun 1990, pertunjukan ini sudah tidak lucu lagi, dan terus merosot hingga membuang-buang waktu seperti sekarang ini.<br /><br />Sungguh memalukan betapa jauhnya pertunjukan ini telah merosot. Tulisannya sangat buruk, pertunjukannya hampir sama buruknya - jika bukan karena pembawa acara tamu yang sedikit menghibur, acara ini mungkin tidak akan tetap ditayangkan. Saya merasa sangat sulit untuk percaya bahwa pencipta yang sama yang memilih pemeran aslinya juga memilih kelompok peretasan berikutnya. Bagaimana seseorang bisa mengenali kecemerlangan seperti itu dan kemudian menggantinya dengan kecemerlangan seperti itu? Saya merasa saya harus memberikan 2 bintang untuk menghormati pemeran asli yang membuat pertunjukan ini sukses besar. Seperti sekarang, pertunjukannya sangat buruk. Aku tidak percaya itu masih mengudara.",negative
"Didorong oleh komentar positif tentang film ini di sini saya sangat menantikan untuk menonton film ini. Kesalahan buruk. Saya telah menonton lebih dari 950 film dan ini benar-benar salah satu yang terburuk di antara semuanya - buruk dalam hampir segala hal: penyuntingan, tempo, alur cerita, 'akting', soundtrack (satu-satunya lagu dalam film tersebut - lagu country yang membosankan - diputar tidak kurang dari empat kali). Film ini terlihat murahan dan menjijikkan serta sangat membosankan. Jarang sekali saya begitu bahagia melihat kredit akhir sebuah film. <br /><br />Satu-satunya hal yang mencegah saya memberikan skor 1 adalah Harvey Keitel - meskipun ini jauh dari performa terbaiknya, setidaknya dia terlihat berusaha sedikit. Satu hanya untuk Keitel yang obsesif.",negative
"Jika Anda menyukai tawa orisinal yang menyayat hati, Anda akan menyukai film ini. Jika kamu muda atau tua maka kamu akan menyukai film ini, bahkan ibuku pun menyukainya.<br /><br />Perkemahan Hebat!!!",positive
